loan_id,source,financial_institution,interest_rate,unpaid_principal_bal,Loan_term,origination_date,first_payment_date,loan_to_value,number_of_borrowers,debt_to_income_ratio,borrower_credit_score,loan_purpose,insurance_percent,co-borrower_credit_score,insurance_type,Occupation ,Borrower_State,EducationLevel,MaritalStatus,Age,Gender,EmploymentStatus,NumberOfDependents,Annual Income,current_month,total_on_time_payments,total_late_payments,avg_payment_delay,current_dpd,mx
3.88E+11,Z,OTHER,4.375,86000,18,01/02/12,Apr-12,75,1,20,746,C86,0,0,0,Engineer,PA,High School,Married,22,Male,Employed,3,4300,4,4,2,7.5,8,1
5.78E+11,X,OTHER,4,240000,24,01/02/12,Apr-12,80,1,33,784,C86,0,0,0,Senior Network Analyst,KY,High School,Married,36,Male,Employed,1,7272.727273,23,17,8,14,20,1
5.55E+11,X,Browning-Hart,4.75,417000,18,01/02/12,Apr-12,65,1,43,719,A23,0,0,0,HealthSystem Specialist,MA,High School,Single,31,Male,Employed,3,9697.674419,20,16,6,11.5,11,1
6.4E+11,X,OTHER,4,106000,30,01/01/12,Mar-12,71,1,10,780,C86,0,0,0,Customer Service Rep,TX,Master's,Divorced,60,Other,Unemployed,1,10600,12,9,5,14,19,1
7.31E+11,X,OTHER,4.125,77000,24,01/01/12,Mar-12,75,2,13,777,C86,0,788,0,Phlebotomist Coordinator,NJ,Master's,Married,47,Male,Employed,1,5923.076923,3,4,1,20,,1
7.95E+11,Y,OTHER,3.25,60000,6,01/01/12,Mar-12,62,2,42,809,A23,0,809,0,technition,WI,High School,Married,32,Female,Employed,1,1428.571429,24,15,10,12.5,20,1
5.2E+11,Y,OTHER,4.375,66000,18,01/02/12,Apr-12,80,1,15,694,A23,0,0,0,Claims Analyst,TN,PhD,Married,43,Female,Employed,1,4400,12,10,4,15.5,,1
5.44E+11,X,Browning-Hart,4,256000,12,01/02/12,Apr-12,80,2,34,780,A23,0,778,0,Controller honduras,TN,Master's,Single,24,Female,Self-Employed,3,7529.411765,23,16,9,12.555555555555555,,1
7.63E+11,Z,Edwards-Hoffman,3.99,265000,6,01/03/12,May-12,75,2,29,823,A23,0,785,0,Accounts Receivable Cash Clerk,CT,Bachelor's,Single,32,Male,Employed,0,9137.931034,11,9,4,12.25,,1
2.73E+11,X,Browning-Hart,4.375,232000,18,01/02/12,Apr-12,69,1,22,797,A23,0,0,0,Senio Consultant,NJ,Bachelor's,Married,42,Male,Employed,2,10545.45455,0,1,1,15,0,0
2.12E+11,Y,Browning-Hart,5.375,48000,24,01/02/12,Apr-12,80,1,41,735,C86,0,0,0,MT ,CA,Master's,Divorced,30,Female,Self-Employed,0,1170.731707,14,10,6,14.333333333333334,,1
9.25E+11,X,OTHER,4.125,56000,12,01/02/12,Apr-12,80,1,17,768,C86,0,0,0,Sales,RI,PhD,Divorced,43,Female,Employed,1,3294.117647,5,4,3,18.666666666666668,,0
5.59E+11,X,OTHER,4,324000,12,01/01/12,Mar-12,80,2,41,762,C86,0,800,0,Sales support administrator ,GA,High School,Married,44,Female,Employed,1,7902.439024,5,3,4,13,,1
9.65E+11,X,OTHER,4.125,164000,30,01/02/12,Apr-12,80,1,37,811,C86,0,0,0,General Engineer,PA,Bachelor's,Divorced,18,Female,Employed,3,4432.432432,10,9,3,10,,1
5.63E+11,X,OTHER,3.875,128000,12,01/02/12,Apr-12,74,1,37,816,A23,0,0,0,Foreman,VA,PhD,Single,31,Female,Employed,2,3459.459459,2,4,0,0,,1
9.54E+11,X,"Swanson, Newton and Miller",5,48000,18,01/01/12,Mar-12,89,2,26,768,A23,25,775,0,Managing Memebr,FL,Bachelor's,Married,46,Female,Employed,2,1846.153846,17,14,5,11.2,,1
7.27E+11,X,OTHER,4,174000,36,01/02/12,Apr-12,76,2,34,814,B12,0,781,0,Owner,NY,Master's,Single,41,Other,Self-Employed,0,5117.647059,11,8,5,13,,0
4.95E+11,X,OTHER,3.25,103000,30,01/03/12,May-12,75,1,36,769,B12,0,0,0,help desk,IN,PhD,Married,18,Male,Employed,2,2861.111111,7,7,2,14,,1
7.25E+11,Y,Browning-Hart,4.5,68000,12,01/02/12,Apr-12,75,2,44,754,B12,0,762,0,"Director, violinist",CA,High School,Married,39,Male,Employed,1,1545.454545,8,6,4,13,19,1
6.93E+11,X,Chapman-Mcmahon,3.75,161000,6,01/01/12,Mar-12,37,1,16,778,A23,0,0,0,Banker,NY,PhD,Married,54,Female,Employed,0,10062.5,10,8,4,9,,1
9.45E+11,X,Nicholson Group,3.5,87000,24,01/03/12,May-12,40,2,34,800,A23,0,809,0,Senior Traffic pilot,VA,High School,Married,46,Female,Self-Employed,2,2558.823529,19,16,5,14.2,,0
7.16E+11,X,OTHER,3.875,261000,18,01/01/12,Mar-12,57,1,33,758,B12,0,0,0,pilot,AL,High School,Married,41,Female,Employed,1,7909.090909,11,9,4,15.25,,0
3.4E+11,Z,OTHER,5,459000,12,01/03/12,May-12,70,2,47,740,B12,0,789,0,Account Executive,WI,High School,Single,21,Female,Employed,1,9765.957447,10,8,4,11.75,19,0
1.82E+11,X,OTHER,3.625,39000,36,01/02/12,Apr-12,53,2,42,679,B12,0,761,0,Systems Test pilot,DC,Master's,Married,47,Male,Employed,0,928.5714286,5,7,0,0,,1
9.44E+11,Y,Browning-Hart,4.25,79000,36,01/02/12,Apr-12,49,1,23,706,A23,0,0,0,Fuel Systems Distribution Worker,AZ,Master's,Married,41,Male,Employed,4,3434.782609,1,2,1,18,,0
4.31E+11,X,OTHER,4.5,365000,36,01/02/12,Apr-12,95,1,39,752,C86,30,0,0,Team Lead ,IN,High School,Married,34,Male,Employed,3,9358.974359,8,7,3,17,,1
4.14E+11,X,OTHER,4,188000,12,01/02/12,Apr-12,94,1,36,737,A23,30,0,0,Cook,IL,High School,Married,59,Male,Employed,0,5222.222222,24,21,4,10,,1
4.71E+11,X,"Romero, Woods and Johnson",3.75,113000,24,01/01/12,Mar-12,42,2,32,798,B12,0,781,0,Nail technician,NV,Bachelor's,Single,53,Male,Employed,2,3531.25,7,6,3,14.666666666666666,,1
7.21E+11,Y,OTHER,3.875,200000,30,01/01/12,Mar-12,63,2,33,811,B12,0,813,0,OWNER,OK,PhD,Divorced,40,Female,Employed,1,6060.606061,24,17,8,11.875,10,1
3.33E+11,Y,Browning-Hart,4.25,170000,6,01/01/12,Mar-12,75,2,27,705,C86,0,790,0,Respiratory therapist,AZ,High School,Married,28,Female,Employed,0,6296.296296,2,3,1,19,,1
1.14E+11,X,OTHER,4,198000,36,01/01/12,Mar-12,85,2,14,804,A23,12,815,0,Driller,LA,Bachelor's,Married,57,Female,Employed,0,14142.85714,8,8,2,14.5,,1
7.54E+11,X,"Martinez, Duffy and Bird",3.91,197000,12,01/02/12,Apr-12,51,1,38,703,B12,0,0,0,Purchasing Assistant,GA,High School,Married,52,Male,Employed,1,5184.210526,19,14,7,11,9,1
4.07E+11,Y,Browning-Hart,3.875,224000,30,01/02/12,Apr-12,80,2,22,795,A23,0,819,0,Sr. Policy Advisor,VA,Master's,Single,40,Female,Employed,3,10181.81818,2,2,2,7.5,,0
3.24E+11,X,Browning-Hart,4.25,206000,18,01/02/12,Apr-12,79,2,16,762,A23,0,748,0,vice president,CO,PhD,Married,25,Male,Employed,0,12875,4,3,3,10.333333333333334,,1
3.41E+11,X,Browning-Hart,4.375,104000,12,01/02/12,Apr-12,77,2,40,778,B12,0,778,0,Cheif Financial pilot,CA,High School,Single,34,Female,Self-Employed,2,2600,22,15,9,12.666666666666666,18,0
8.14E+11,X,OTHER,3.25,79000,18,01/02/12,Apr-12,43,2,26,748,A23,0,748,0,Federal Police pilot,TX,PhD,Single,25,Male,Employed,2,3038.461538,22,17,7,12.857142857142858,,1
7.49E+11,Y,"Martinez, Duffy and Bird",3.375,114000,30,01/02/12,Apr-12,72,2,33,789,A23,0,818,0,Owner,FL,Master's,Married,22,Male,Employed,1,3454.545455,18,13,7,10.571428571428571,,1
5.7E+11,X,"Miller, Mcclure and Allen",3.875,82000,12,01/02/12,Apr-12,75,2,24,772,B12,0,626,0,Truck driver,FL,Bachelor's,Married,45,Male,Employed,0,3416.666667,10,6,6,13.333333333333334,19,0
5.39E+11,Y,"Cole, Brooks and Vincent",3.375,38000,12,01/01/12,Mar-12,36,1,14,771,A23,0,0,0,Dean,IL,High School,Single,60,Male,Employed,0,2714.285714,0,0,2,13,0,0
7.52E+11,X,Browning-Hart,5.5,41000,6,01/01/12,Mar-12,75,1,40,643,B12,0,0,0,occupational therapy assistant,WY,Bachelor's,Single,38,Male,Employed,2,1025,24,19,6,15.166666666666666,,1
7.15E+11,Y,Browning-Hart,4,142000,6,01/02/12,Apr-12,70,1,42,699,A23,0,0,0,pilot,NY,Bachelor's,Married,43,Male,Employed,0,3380.952381,5,4,3,10.333333333333334,10,1
3.49E+11,Z,Browning-Hart,4,266000,6,01/03/12,May-12,66,2,34,703,A23,0,705,0,Clinical Advisor,SD,Bachelor's,Single,26,Female,Self-Employed,2,7823.529412,7,7,2,11.5,,0
1.58E+11,Y,Browning-Hart,4.125,232000,30,01/02/12,May-12,80,2,16,791,A23,0,788,0,Accountant,PA,Master's,Divorced,18,Male,Employed,0,14500,23,18,7,14.857142857142858,,1
9.36E+11,X,OTHER,2.875,70000,6,01/01/12,Mar-12,35,2,19,795,C86,0,720,0,Registered nurse,CA,High School,Single,23,Male,Employed,0,3684.210526,20,16,6,11.833333333333334,,1
5.81E+11,Y,OTHER,3.875,314000,30,01/02/12,Apr-12,95,2,30,791,C86,30,767,0,Teacher,NY,High School,Single,39,Male,Employed,2,10466.66667,7,9,0,0,,1
8.49E+11,X,OTHER,3.875,170000,24,01/01/12,Apr-12,52,1,35,811,A23,0,0,0,President ,GA,High School,Divorced,19,Female,Self-Employed,1,4857.142857,0,2,0,0,0,1
3.6E+11,X,Browning-Hart,3.75,404000,36,01/02/12,Apr-12,52,1,10,756,A23,0,0,0,teacher,WA,PhD,Married,37,Female,Employed,3,40400,3,2,3,6.666666666666667,7,0
2.69E+11,X,OTHER,3.25,118000,30,01/01/12,Mar-12,53,2,34,734,A23,0,768,0,Teacher,NC,PhD,Married,18,Female,Self-Employed,2,3470.588235,4,5,1,7,,0
8.72E+11,X,"Swanson, Newton and Miller",4.75,140000,24,01/01/12,Mar-12,20,2,13,807,A23,0,808,0,Senior Pastor ,NY,High School,Single,47,Female,Employed,5,10769.23077,5,6,1,10,10,1
4.54E+11,Y,"Swanson, Newton and Miller",3.875,174000,36,01/02/12,Apr-12,38,1,20,755,B12,0,0,0,Physician (Pediatric Ophthalmologist),IL,High School,Married,37,Male,Employed,1,8700,2,3,1,8,,1
7.99E+11,Z,Edwards-Hoffman,3.884,379000,6,01/01/12,Mar-12,66,1,28,800,A23,0,0,0,operation specialist second,CA,Bachelor's,Single,33,Other,Self-Employed,0,13535.71429,12,7,7,15.857142857142858,16,1
3.97E+11,X,OTHER,4.375,76000,36,01/01/12,Mar-12,67,2,33,662,B12,0,651,0,Program Support Supervisor II,ME,Bachelor's,Married,33,Male,Employed,1,2303.030303,5,5,2,13.5,,1
2.42E+11,Y,"Martinez, Duffy and Bird",3.5,210000,24,01/02/12,Apr-12,95,1,19,773,C86,25,0,0,Long Term Substitute,NY,High School,Married,43,Male,Employed,2,11052.63158,1,0,3,11.666666666666666,7,0
6.6E+11,Z,OTHER,3.375,335000,30,01/01/12,Mar-12,62,1,36,783,B12,0,0,0,Inventory Analyst,TX,Bachelor's,Single,42,Male,Employed,1,9305.555556,23,14,11,13.818181818181818,,0
7.22E+11,Y,"Turner, Baldwin and Rhodes",3.375,250000,18,01/01/12,Mar-12,65,1,29,732,B12,0,0,0,Human Resources,CA,High School,Single,36,Male,Employed,3,8620.689655,5,5,2,9,,1
4.3E+11,X,OTHER,3.375,269000,6,01/01/12,Mar-12,63,2,20,807,A23,0,775,0,instructor ,FL,PhD,Single,31,Male,Employed,0,13450,22,19,5,16.4,10,1
8.52E+11,Y,Browning-Hart,3.625,400000,24,01/02/12,Apr-12,55,2,27,813,A23,0,803,0,Executive,HI,High School,Single,35,Other,Self-Employed,3,14814.81481,16,13,5,10.8,,1
5.2E+11,X,OTHER,3.875,224000,30,01/02/12,Apr-12,57,2,28,785,A23,0,808,0,Managing Director,TX,High School,Single,45,Other,Unemployed,2,8000,19,13,8,11.875,,1
4.16E+11,Z,OTHER,3.75,146000,30,01/02/12,Apr-12,75,2,40,767,C86,0,796,0,piloting group leader,CT,Bachelor's,Single,47,Male,Employed,2,3650,20,14,8,10.875,12,0
6.46E+11,Y,Richards-Walters,3.375,193000,36,01/01/12,Mar-12,70,2,36,809,A23,0,809,0,Supervisor,MO,Bachelor's,Single,40,Other,Unemployed,3,5361.111111,0,0,2,13.5,0,0
8.9E+11,Y,Browning-Hart,4.625,128000,18,01/02/12,Apr-12,50,1,16,806,C86,0,0,0,RN,CA,Bachelor's,Married,47,Female,Self-Employed,2,8000,1,2,1,18,,1
8.95E+11,X,OTHER,3.625,60000,36,01/01/12,Mar-12,55,1,15,802,C86,0,0,0,FINANCE,IL,PhD,Divorced,56,Other,Unemployed,0,4000,14,13,3,16.666666666666668,,1
2.73E+11,X,OTHER,3.125,225000,12,01/01/12,Mar-12,45,2,15,781,B12,0,793,0,Underwriter,FL,Master's,Single,45,Female,Self-Employed,0,15000,24,18,7,10,,0
7.47E+11,Z,OTHER,3,238000,24,01/02/12,Apr-12,80,2,28,802,A23,0,787,0,Director of Spa Operations,FL,Bachelor's,Married,27,Female,Self-Employed,4,8500,15,14,3,14.333333333333334,,1
3.08E+11,X,Browning-Hart,3.25,480000,18,01/01/12,Mar-12,74,1,28,810,A23,0,0,0,Maintenance Tech,CA,High School,Married,29,Female,Employed,5,17142.85714,3,4,1,18,,1
3.56E+11,Y,Browning-Hart,3.125,460000,12,01/02/12,Apr-12,56,1,11,670,C86,0,0,0,Nurse Practitioner,MS,Master's,Married,36,Female,Employed,4,41818.18182,5,3,4,16.25,16,0
1.28E+11,Y,"Swanson, Newton and Miller",4.25,397000,24,01/01/12,Mar-12,95,2,23,785,C86,30,772,0,Physics Teacher,PA,Bachelor's,Married,52,Other,Unemployed,1,17260.86957,5,5,2,15,,1
5.54E+11,X,OTHER,3.875,131000,30,01/02/12,Apr-12,90,1,44,795,C86,25,0,0,Warehouse Tech,NY,PhD,Divorced,45,Female,Self-Employed,2,2977.272727,1,1,2,13.5,11,1
4.3E+11,Z,Browning-Hart,3.875,357000,30,01/02/12,Apr-12,65,1,21,783,A23,0,0,0,lending pilot,CA,Bachelor's,Married,29,Female,Employed,2,17000,16,7,11,13.909090909090908,,0
4.28E+11,X,OTHER,3.875,101000,24,01/02/12,Apr-12,66,1,20,776,A23,0,0,0,Project Engineer,NJ,PhD,Married,47,Other,Unemployed,2,5050,20,15,7,14.714285714285714,,0
2.07E+11,X,OTHER,3.95,311000,36,01/03/12,May-12,75,2,29,787,A23,0,725,0,Sales,OK,Master's,Single,45,Female,Employed,1,10724.13793,3,4,1,18,,0
1.23E+11,X,OTHER,3.75,69000,6,01/03/12,May-12,86,1,22,800,A23,12,0,0,Executive Director,TN,Bachelor's,Single,46,Female,Employed,3,3136.363636,14,10,6,14,16,1
1.79E+11,Z,Browning-Hart,4.25,152000,12,01/01/12,Mar-12,80,2,32,799,C86,0,788,0,"Vice President, Membership",IL,Master's,Single,48,Female,Self-Employed,2,4750,2,3,1,20,,0
9.44E+11,X,Browning-Hart,3.25,185000,24,01/02/12,Apr-12,78,2,41,799,A23,0,799,0,Patient Account Representative ,NY,Bachelor's,Single,43,Female,Self-Employed,0,4512.195122,8,3,7,15.428571428571429,10,1
1.86E+11,Y,Browning-Hart,4.25,279000,12,01/02/12,Apr-12,75,2,43,712,A23,0,734,0,Principal pilot,OH,Bachelor's,Married,33,Female,Employed,0,6488.372093,20,17,5,8.2,7,1
9.84E+11,Y,Browning-Hart,3.875,220000,24,01/01/12,Mar-12,55,1,29,719,B12,0,0,0,lead teller ,MN,Master's,Single,34,Male,Employed,1,7586.206897,5,5,2,7,,1
1.5E+11,Y,OTHER,4.25,93000,6,01/01/12,Mar-12,52,1,46,777,A23,0,0,0,Senior Engineer,IL,PhD,Married,59,Female,Employed,5,2021.73913,21,14,9,11.88888888888889,,0
2.53E+11,X,Browning-Hart,3.375,260000,6,01/03/12,May-12,79,1,31,756,C86,0,0,0,baker,NY,High School,Divorced,59,Female,Self-Employed,1,8387.096774,0,1,1,16,0,0
1.78E+11,X,"Swanson, Newton and Miller",4.5,110000,36,01/02/12,Apr-12,80,1,21,781,C86,0,0,0,pilot,KY,Bachelor's,Married,49,Female,Self-Employed,1,5238.095238,19,15,6,12.5,18,1
6.08E+11,X,OTHER,3.375,60000,36,01/01/12,Mar-12,48,2,39,758,C86,0,645,0,Operations Engineer,CA,PhD,Single,25,Male,Employed,0,1538.461538,11,7,6,9.833333333333334,16,0
4.05E+11,X,"Miller, Mcclure and Allen",4.25,455000,18,01/01/12,Mar-12,69,1,31,695,A23,0,0,0,Business Consultant,TN,High School,Single,38,Female,Self-Employed,2,14677.41935,13,11,4,13.25,,1
7.92E+11,Y,Browning-Hart,4.5,67000,12,01/02/12,Apr-12,80,2,43,794,C86,0,802,0,Special Manager,MD,PhD,Single,44,Female,Employed,4,1558.139535,16,11,7,11,,0
2.42E+11,Y,Edwards-Hoffman,4.5,71000,36,01/02/12,Apr-12,75,1,36,776,C86,0,0,0,Owner,NC,PhD,Married,51,Male,Employed,4,1972.222222,14,12,4,11.5,,1
9.64E+11,X,OTHER,3.75,417000,24,01/02/12,Apr-12,63,2,42,694,C86,0,710,0,pilot,IN,Doctorate,Divorced,58,Male,Employed,0,9928.571429,18,14,6,13.5,,1
4.76E+11,Y,Sanchez-Robinson,3.125,198000,18,01/03/12,May-12,62,2,25,730,A23,0,701,0,Admin. Assistant,NY,PhD,Divorced,26,Male,Employed,0,7920,4,3,3,10.666666666666666,7,1
7.96E+11,Y,Browning-Hart,4.125,193000,36,01/01/12,Mar-12,75,1,29,802,C86,0,0,0,Managing Consultant,CA,Master's,Single,42,Female,Self-Employed,0,6655.172414,12,4,10,12.6,,0
1.2E+11,X,OTHER,4,175000,30,01/03/12,May-12,88,2,34,719,A23,25,741,0,Frack Supervisor,UT,Master's,Married,29,Female,Self-Employed,2,5147.058824,10,10,2,9.5,,1
8.92E+11,Y,"Swanson, Newton and Miller",3.875,179000,6,01/02/12,Mar-12,90,2,45,773,C86,25,744,0,Associate Attorney,PA,Bachelor's,Married,27,Female,Employed,1,3977.777778,8,6,4,12.25,13,1
4.33E+11,X,OTHER,4,109000,30,01/02/12,Apr-12,80,2,21,813,C86,0,815,0,Sheriff Drputy,NY,Master's,Married,27,Female,Employed,0,5190.47619,7,7,2,9.5,13,0
9.31E+11,X,"Swanson, Newton and Miller",4.5,346000,6,01/01/12,Mar-12,75,1,40,720,B12,0,0,0,CMA Financial Analyst,WA,PhD,Single,50,Female,Self-Employed,2,8650,13,13,2,7,,1
4.77E+11,X,Nicholson Group,3.125,410000,24,01/02/12,Apr-12,42,2,28,805,B12,0,792,0,Kettle packer,MI,High School,Married,54,Female,Self-Employed,1,14642.85714,1,3,0,0,,1
2.3E+11,X,OTHER,4.125,176000,6,01/02/12,Apr-12,90,1,34,728,C86,30,0,0,Home attendant,CA,Master's,Married,28,Male,Employed,0,5176.470588,21,18,5,14.4,,1
4.1E+11,X,OTHER,3.375,417000,30,01/01/12,Apr-12,68,2,41,724,B12,0,729,0,Engineer,CA,Bachelor's,Married,33,Female,Employed,0,10170.73171,9,7,4,15.75,,1
7.86E+11,X,OTHER,4.25,253000,36,01/02/12,Apr-12,70,1,42,771,C86,0,0,0,Material Handler,MN,Master's,Married,63,Male,Employed,2,6023.809524,1,3,0,0,,1
8.11E+11,Y,"Turner, Baldwin and Rhodes",3.75,132000,24,01/02/12,Apr-12,80,1,45,750,C86,0,0,0,Dispatch ,TX,Master's,Single,20,Male,Employed,2,2933.333333,3,4,1,16,,1
7.07E+11,X,"Martinez, Duffy and Bird",3.625,137000,36,01/02/12,Apr-12,72,1,27,808,A23,0,0,0,Business Development,IN,Bachelor's,Single,25,Male,Employed,2,5074.074074,22,16,8,12.25,,0
5.62E+11,Z,OTHER,3.75,315000,12,01/02/12,Apr-12,63,1,25,735,A23,0,0,0,Senior Vice President,FL,Master's,Married,28,Female,Employed,2,12600,2,2,2,13,14,1
1.13E+11,X,Browning-Hart,4.375,179000,24,01/02/12,Apr-12,80,1,24,776,A23,0,0,0,Professor,WV,High School,Married,38,Other,Unemployed,3,7458.333333,15,12,5,13.6,16,1
2.75E+11,Z,Browning-Hart,3.75,311000,6,01/02/12,Apr-12,79,2,40,796,A23,0,777,0,Collection pilot,LA,PhD,Single,32,Female,Employed,1,7775,23,21,4,13.5,17,1
3.85E+11,X,Nicholson Group,4.25,131000,30,01/02/12,Apr-12,80,2,38,795,C86,0,788,0,QA/QC Supervisor,OK,Doctorate,Divorced,31,Female,Self-Employed,1,3447.368421,20,17,5,13.2,16,1
7.12E+11,Y,OTHER,3.875,94000,24,01/02/12,Apr-12,60,1,16,803,B12,0,0,0,Test pilot,MI,Bachelor's,Single,26,Female,Employed,0,5875,16,15,3,11.666666666666666,,1
